Date;Power
2022-10-16 01:55:00;894.9999999999999
2022-10-16 01:56:00;895.0
2022-10-16 01:57:00;895.0000000000001
2022-10-16 01:58:00;894.9999999999999
2022-10-16 01:59:00;895.0
2022-10-16 02:00:00;894.9999999999999
2022-10-16 02:01:00;895.0000000000001
2022-10-16 02:02:00;894.9999999999998
2022-10-16 02:03:00;894.9999999999998
2022-10-16 02:04:00;895.0
2022-10-16 02:05:00;895.0
2022-10-16 02:06:00;895.0000000000001
2022-10-16 02:07:00;894.9999999999999
2022-10-16 02:08:00;895.0000000000001
2022-10-16 02:09:00;895.0000000000001
2022-10-16 02:10:00;894.9999999999999
2022-10-16 02:11:00;895.0000000000001
2022-10-16 02:12:00;1063.27
2022-10-16 02:13:00;1401.8816666666667
2022-10-16 02:14:00;1434.225
2022-10-16 02:15:00;1451.6816666666668
2022-10-16 02:16:00;1464.8383333333331
2022-10-16 02:17:00;1491.435
2022-10-16 02:18:00;1500.6
2022-10-16 02:19:00;1505.1150000000002
2022-10-16 02:20:00;1508.1733333333336
2022-10-16 02:21:00;1510.49
2022-10-16 02:22:00;1512.353333333333
2022-10-16 02:23:00;1513.915
2022-10-16 02:24:00;1515.26
2022-10-16 02:25:00;1524.11
2022-10-16 02:26:00;1529.5783333333334
2022-10-16 02:27:00;1533.395
2022-10-16 02:28:00;1537.2066666666667
2022-10-16 02:29:00;1541.0216666666668
2022-10-16 02:30:00;1544.841666666667
2022-10-16 02:31:00;1548.6583333333333
2022-10-16 02:32:00;1552.4683333333332
2022-10-16 02:33:00;1556.2866666666664
2022-10-16 02:34:00;1560.105
2022-10-16 02:35:00;1563.9199999999998
2022-10-16 02:36:00;1567.7316666666666
2022-10-16 02:37:00;1571.55
2022-10-16 02:38:00;1580.6016666666665
2022-10-16 02:39:00;1585.9283333333333
2022-10-16 02:40:00;1589.0966666666668
2022-10-16 02:41:00;1592.2666666666662
2022-10-16 02:42:00;1595.4333333333334
2022-10-16 02:43:00;1598.6033333333335
