Date;Demand;PV_Production;Wind_Production;Production;Netload
2022-10-12 18:51:00;1409.235;0.0;1587.6076971474176;1587.6076971474176;-178.37269714741774
2022-10-12 18:52:00;1556.53;0.0;1587.0242055152653;1587.0242055152653;-30.49420551526532
2022-10-12 18:53:00;1569.961666666667;0.0;1586.4687605629483;1586.4687605629483;-16.507093896281276
2022-10-12 18:54:00;1508.3083333333334;0.0;1585.940478988888;1585.940478988888;-77.6321456555545
2022-10-12 18:55:00;1502.54;0.0;1585.438477491505;1585.438477491505;-82.89847749150499
2022-10-12 18:56:00;1507.131666666667;0.0;1584.9618727692196;1584.9618727692196;-77.83020610255267
2022-10-12 18:57:00;1511.365;0.0;1584.509781520454;1584.509781520454;-73.14478152045399
2022-10-12 18:58:00;1520.1066666666668;0.0;1584.0813204436286;1584.0813204436286;-63.97465377696176
2022-10-12 18:59:00;1506.0233333333333;0.0;1583.6756062371644;1583.6756062371644;-77.65227290383109
2022-10-12 19:00:00;1506.6016666666665;0.0;1583.2917555994811;1583.2917555994811;-76.69008893281466
2022-10-12 19:01:00;1489.5316666666668;0.0;1582.9289442189545;1582.9289442189545;-93.39727755228773
2022-10-12 19:02:00;1487.705;0.0;1582.5865837437598;1582.5865837437598;-94.88158374375985
2022-10-12 19:03:00;2162.043333333333;0.0;1582.2641448120291;1582.2641448120291;579.7791885213039
2022-10-12 19:04:00;2944.363333333333;0.0;1581.9610980618922;1581.9610980618922;1362.4022352714405
2022-10-12 19:05:00;2432.173333333334;0.0;1581.67691413148;1581.67691413148;850.496419201854
2022-10-12 19:06:00;2411.7600000000007;0.0;1581.411063658922;1581.411063658922;830.3489363410786
2022-10-12 19:07:00;2591.09;0.0;1581.1630172823488;1581.1630172823488;1009.9269827176513
2022-10-12 19:08:00;2581.5700000000006;0.0;1580.9322456398902;1580.9322456398902;1000.6377543601104
2022-10-12 19:09:00;2574.2616666666663;0.0;1580.7182193696776;1580.7182193696776;993.5434472969887
2022-10-12 19:10:00;2572.585;0.0;1580.5204091098403;1580.5204091098403;992.0645908901597
2022-10-12 19:11:00;2570.293333333333;0.0;1580.3382854985089;1580.3382854985089;989.9550478348242
2022-10-12 19:12:00;2568.4433333333336;0.0;1580.1713191738136;1580.1713191738136;988.27201415952
2022-10-12 19:13:00;2564.585;0.0;1580.0189807738846;1580.0189807738846;984.5660192261155
2022-10-12 19:14:00;2543.8083333333334;0.0;1579.8807409368524;1579.8807409368524;963.927592396481
2022-10-12 19:15:00;2546.9;0.0;1579.7560703008476;1579.7560703008476;967.1439296991525
2022-10-12 19:16:00;2526.85;0.0;1579.6444395039994;1579.6444395039994;947.2055604960005
2022-10-12 19:17:00;2529.776666666666;0.0;1579.5453191844388;1579.5453191844388;950.2313474822274
2022-10-12 19:18:00;2528.0466666666666;0.0;1579.458179980296;1579.458179980296;948.5884866863705
2022-10-12 19:19:00;2543.615;0.0;1579.382492529702;1579.382492529702;964.2325074702978
2022-10-12 19:20:00;2680.205;0.0;1579.3177274707857;1579.3177274707857;1100.8872725292142
2022-10-12 19:21:00;2543.8749999999995;0.0;1579.263355441678;1579.263355441678;964.6116445583216
2022-10-12 19:22:00;2710.396666666667;0.0;1579.2188470805092;1579.2188470805092;1131.1778195861577
2022-10-12 19:23:00;3165.035;0.0;1579.18367302541;1579.18367302541;1585.85132697459
2022-10-12 19:24:00;2310.755;0.0;1579.1573039145098;1579.1573039145098;731.5976960854903
2022-10-12 19:25:00;1790.791666666667;0.0;1579.1392103859396;1579.1392103859396;211.6524562807274
2022-10-12 19:26:00;1786.1716666666666;0.0;1579.1288630778297;1579.1288630778297;207.04280358883693
2022-10-12 19:27:00;1804.8666666666668;0.0;1579.1257326283098;1579.1257326283098;225.74093403835695
2022-10-12 19:28:00;1788.601666666667;0.0;1579.1292896755103;1579.1292896755103;209.47237699115658
2022-10-12 19:29:00;2569.91;0.0;1579.139004857562;1579.139004857562;990.7709951424379
2022-10-12 19:30:00;2949.0733333333333;0.0;1579.1543488125944;1579.1543488125944;1369.9189845207388
2022-10-12 19:31:00;3697.19;0.0;1579.1747921787385;1579.1747921787385;2118.0152078212614
2022-10-12 19:32:00;3888.0566666666655;0.0;1579.1998055941244;1579.1998055941244;2308.856861072541
2022-10-12 19:33:00;3331.1383333333333;0.0;1579.228859696882;1579.228859696882;1751.9094736364514
2022-10-12 19:34:00;3193.868333333333;0.0;1579.261425125142;1579.261425125142;1614.6069082081908
2022-10-12 19:35:00;3189.295;0.0;1579.2969725170346;1579.2969725170346;1609.9980274829654
2022-10-12 19:36:00;3080.625;0.0;1579.3349725106896;1579.3349725106896;1501.2900274893104
2022-10-12 19:37:00;3074.46;0.0;1579.3748957442383;1579.3748957442383;1495.0851042557617
2022-10-12 19:38:00;3078.5150000000003;0.0;1579.4162128558098;1579.4162128558098;1499.0987871441905
2022-10-12 19:39:00;3135.13;0.0;1579.458394483535;1579.458394483535;1555.6716055164652
2022-10-12 19:40:00;3182.6283333333336;0.0;1579.5009112655443;1579.5009112655443;1603.1274220677892
2022-10-12 19:41:00;3180.686666666667;0.0;1579.5432338399676;1579.5432338399676;1601.1434328266994
2022-10-12 19:42:00;3177.44;0.0;1579.5848328449356;1579.5848328449356;1597.8551671550645
2022-10-12 19:43:00;3167.768333333333;0.0;1579.625178918578;1579.625178918578;1588.143154414755
2022-10-12 19:44:00;3169.34;0.0;1579.6637426990255;1579.6637426990255;1589.6762573009746
2022-10-12 19:45:00;3245.005;0.0;1579.6999948244086;1579.6999948244086;1665.3050051755915
